turning_point,isWon,total_diff,p1_break_pos1,p1_break_pos2,p1_break_pos3,p1_break_pos4,p1_win_in_set,cur_diff,p1_ace,p1_utc_fore,p1_utc_back,p1_break_racial,p1_dis_total,p1_dis_lstgame,p1_dis_lst3pts,p1_dis_lstpt,rallycnt,p1_con,p2_break_pos1,p2_break_pos2,p2_break_pos3,p2_break_pos4,p2_win_in_set,p2_ace,p2_utc_fore,p2_utc_back,p2_break_racial,p2_dis_total,p2_dis_lstgame,p2_dis_lst3pts,p2_dis_lstpt,p2_con
0,0,-0.9546707526914584,-0.2391824366174698,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,-0.1314375987903966,-0.2041241452319314,-0.2526455763199556,-0.1655211777204736,-4.453743649504639,-1.7035234833433868,-0.8607027444945816,-1.5265838163854804,-0.6381916597693789,-0.4338927676442862,0,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,-0.3080430342483094,-0.1162476387438192,-8.247968116216263,-1.7431523481401274,-0.9205055664150829,-1.5599105088603684,-0.5616275010067219,0
50,1,-0.7571526659277082,1.1959121830873496,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,-1.0276030450885554,-0.2041241452319314,-0.2526455763199556,-0.1655211777204736,-4.453743649504639,-1.6996046888401055,-0.7852245733901166,-1.3237424907961262,-0.7127177391507777,-0.7702437503142755,1,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,-0.3080430342483094,-0.1162476387438192,-8.247968116216263,-1.737499972257334,-0.8015479239860567,-1.2567910429024918,-0.5616275010067219,0
0,0,-0.9546707526914584,1.1959121830873496,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,-0.1314375987903966,-0.2041241452319314,-0.2526455763199556,-0.1655211777204736,-4.453743649504639,-1.6894158231315743,-0.5889813285185079,-0.796355044263805,-0.1165091040995868,0.2388091976956924,0,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,-0.3080430342483094,-0.1162476387438192,0.7778056799484968,-1.7221578091468936,-0.478662894535843,-0.434038206731112,0.350352202928415,1
50,1,-0.7571526659277082,2.631006802792169,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,-1.0276030450885554,-0.2041241452319314,3.958114029012639,-0.1655211777204736,-4.453743649504639,-1.6494441191981053,0.1808960167470342,1.0292168860403834,2.71548191239357,3.2659680417255963,1,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,-0.3080430342483094,-0.1162476387438192,-1.4786309997555769,-1.661596638974104,0.7958832743465794,2.5105508911454044,4.606257487959055,0
0,1,-0.5596345791639583,4.066101422496988,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,-0.1314375987903966,4.898979485566355,-0.2526455763199556,-0.1655211777204736,-4.453743649504639,-1.6494441191981053,0.1808960167470342,0.8263755604510292,-1.085348136057772,-0.7702437503142755,2,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,-0.3080430342483094,-0.1162476387438192,-2.832498423047714,-1.661596638974104,0.7958832743465794,2.207431425187528,-1.093615661635552,0
100,0,-0.7571526659277082,4.066101422496988,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,0.764727847507762,-0.2041241452319314,-0.2526455763199556,-0.1655211777204736,-4.453743649504639,-1.645525324694824,0.2563741878514992,0.5018294395080624,-0.7127177391507777,-0.4338927676442862,0,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,-0.3080430342483094,-0.1162476387438192,0.7778056799484968,-1.658366709898222,0.8638590700203085,1.5578897124206492,-0.7896224269905062,1
0,1,-0.5596345791639583,5.501196042201808,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,-0.1314375987903966,4.898979485566355,-0.2526455763199556,-0.1655211777204736,-4.453743649504639,-1.6408227712908865,0.3469479931768571,-1.3237424907961262,-0.6381916597693789,-0.7702437503142755,1,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,-0.3080430342483094,-0.1162476387438192,-0.5115905766464681,-1.644639511325723,1.1527562016336577,-0.9536715769446148,0.1983555856058922,0
100,0,-0.7571526659277082,5.501196042201808,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,0.764727847507762,-0.2041241452319314,-0.2526455763199556,-0.1655211777204736,-4.453743649504639,-1.6274988699797304,0.6035737749320378,-0.6340819837923216,0.1815952134260086,0.9115111630356708,0,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,3.246299668616799,-0.1162476387438192,1.9060375584747669,-1.6301048304842536,1.458647282165439,-0.1742215216243605,0.2743538942671537,1
0,1,-0.5596345791639583,6.936290661906627,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,-0.1314375987903966,-0.2041241452319314,-0.2526455763199556,-0.1655211777204736,-4.453743649504639,-1.6008510673574177,1.1168253384423992,0.5423977046259332,1.448538562909789,1.2478621457056602,1,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,-0.3080430342483094,-0.1162476387438192,0.7778056799484968,-1.6107252560289609,1.8665020562078145,0.6918340953981443,0.7303437462347222,0
0,1,-0.3621164924002083,8.371385281611445,-0.2343078775632677,-0.2535594944044248,-0.4338320723879383,-1.1433150155539549,0.764727847507762,-0.2041241452319314,-0.2526455763199556,-0.1655211777204736,-4.453743649504639,-1.5843921304436364,1.4338336570811518,1.150921681393996,0.479699530951604,0.5751601803656817,2,-0.2510336242535798,-0.2457480046052861,-0.2546573096474334,-0.376519898784835,-1.501666944415165,-0.2294157338705618,-0.3080430342483094,-0.1162476387438192,-0.1247635764634395,-1.5889232347667566,2.3253386770054862,1.1248619039093968,0.9583386722185064,0
