isWon,        total_diff,        break_pos1,        break_pos2,        break_pos3,        break_pos4,        win_in_set,        cur_diff,         ace,        utc_fore,        utc_back,        break_racial,        dis_total,        dis_lstgame,        dis_lst3pts,        dis_lstpt,        rallycnt,        double_fault,        unf_err
0,-1.0186930120128956,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.70704590541484,-0.04726023035167811,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-2.7934587145645664,-1.7712010135295433,-0.8967881176368394,-1.6028574407133243,-0.6876246275082036,-0.6295063891676638,-0.6521113167513781,-1.3405504815466123
1,-0.8047998875393503,1.9074835096162617,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.70704590541484,0.6725494319277269,3.3726843908080104,-0.28629916715693415,-0.16095569499491266,-2.7934587145645664,-1.7695616872109743,-0.868710311297166,-1.5443568373471974,-0.8800623324504289,-0.6295063891676638,-0.6521113167513781,-1.3405504815466123
1,-0.5909067630658048,4.029291009077047,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.70704590541484,1.3923590942071318,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-2.7934587145645664,-1.7613650556181288,-0.7283212795987993,-1.2518538205165632,-0.49518692256597846,-0.6295063891676638,-0.6521113167513781,-1.3405504815466123
1,-0.3770136385922594,6.151098508537832,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.70704590541484,2.1121687564865366,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-2.7934587145645664,-1.7548077503438524,-0.616010054240106,-1.1933532171504364,-0.591405775037091,-0.6295063891676638,-0.6521113167513781,-1.3405504815466123
0,-0.163120514118714,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,-0.04726023035167811,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-2.7934587145645664,-1.7515290977067142,-0.8967881176368394,-1.1348526137843093,-0.7838434799793162,-0.9993647424471813,-0.6521113167513781,-1.3405504815466123
0,-0.3770136385922594,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,0.6725494319277269,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-2.7934587145645664,-1.7367751608395923,-0.6440878605797793,-0.900850200319802,-0.11031151268152813,0.11021031739137141,-0.6521113167513781,-1.3405504815466123
0,-0.5909067630658048,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,-0.04726023035167811,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-2.7934587145645664,-1.731857181883885,-0.5598544415607593,-0.9593508036859288,-0.6876246275082036,-0.6295063891676638,-0.6521113167513781,-0.9842699508805328
0,-0.8047998875393503,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,-0.7670698926310832,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-2.7934587145645664,-1.6925133502382268,0.11401291059140088,0.32766247036886204,1.3329712743851607,1.5896437305094415,-0.6521113167513781,-0.9842699508805328
1,-0.5909067630658048,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,-1.486879554910488,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-0.766008930876457,-1.6613661501854138,0.6474912310451943,0.9126685040301306,0.8518770120295978,1.219785377229924,-0.6521113167513781,-0.9842699508805328
0,-0.8047998875393503,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,-0.7670698926310832,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-1.0556498276923467,-1.6531695185925683,0.787880262743561,1.0296697107623842,-0.49518692256597846,-0.6295063891676638,-0.6521113167513781,-0.9842699508805328
0,-1.0186930120128956,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,-0.04726023035167811,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-1.0556498276923467,-1.6416942343625847,-0.8967881176368394,0.03515945353822772,-0.3027492176237533,-0.25964803588814617,-0.6521113167513781,-0.9842699508805328
1,-0.8047998875393503,-0.21432398984452378,1.6780941570722432,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,-0.7670698926310832,3.3726843908080104,-0.28629916715693415,-0.16095569499491266,-1.0556498276923467,-1.6416942343625847,-0.8967881176368394,-1.0763520104181825,-0.9762811849215414,-0.6295063891676638,-0.6521113167513781,-0.9842699508805328
1,-0.5909067630658048,-0.21432398984452378,3.565950083778517,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,-0.04726023035167811,3.3726843908080104,-0.28629916715693415,-0.16095569499491266,-1.0556498276923467,-1.6416942343625847,-0.8967881176368394,-1.368855027248817,-0.9762811849215414,-0.6295063891676638,-0.6521113167513781,-0.9842699508805328
1,-0.3770136385922594,-0.21432398984452378,5.453806010484791,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,0.6725494319277269,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-1.0556498276923467,-1.6367762554068774,-0.8125546986178194,-1.6028574407133243,-0.6876246275082036,-0.6295063891676638,-0.6521113167513781,-0.9842699508805328
1,-0.163120514118714,-0.21432398984452378,7.3416619371910645,-0.2223562253637028,-0.45383990724171036,-1.1713960016555083,1.3923590942071318,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-1.0556498276923467,-1.630218950132601,-0.700243473259126,-1.368855027248817,-0.591405775037091,-0.6295063891676638,-0.6521113167513781,-0.9842699508805328
0,-0.3770136385922594,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-0.6357460978961765,-0.04726023035167811,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-1.2728744179670777,-1.6220223185397555,-0.8967881176368394,-1.0763520104181825,-0.49518692256597846,-0.6295063891676638,-0.6521113167513781,-0.9842699508805328
0,-0.5909067630658048,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-0.6357460978961765,-0.7670698926310832,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-1.4418295803306178,-1.6072683816726336,-0.6440878605797793,-0.7253483902214214,-0.11031151268152813,0.11021031739137141,-0.6521113167513781,-0.9842699508805328
0,-0.8047998875393503,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-0.6357460978961765,-1.486879554910488,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-1.5769912772865753,-1.6007110763983574,-0.531776635221086,-0.7253483902214214,-0.591405775037091,-0.6295063891676638,-0.6521113167513781,-0.9842699508805328
1,-0.5909067630658048,-0.21432398984452378,-0.2097617696340304,-0.2223562253637028,-0.45383990724171036,-0.6357460978961765,-2.206689217189893,-0.2964997266644405,-0.28629916715693415,-0.16095569499491266,-0.5817019494544686,-1.5875964658498045,-0.30715418450369925,-0.5498465801230409,-0.2065303651526407,-0.25964803588814617,-0.6521113167513781,-0.9842699508805328
