True_Values,Predicted_Values
0,-0.038047503663113054
1,0.9957286332428643
1,0.9685680973504189
1,0.9120034613686264
0,0.16604782424538866
0,0.10916796746362847
0,0.03373406665914324
0,0.028773105503020934
1,0.5230260694684034
0,0.1443435959675049
0,0.02980794501657804
1,1.0041108726491803
1,0.8432913629400844
1,0.9803719274566618
1,1.0627436654085443
0,-0.00938401294159744
0,0.16748684159468225
0,0.05529665148357392
1,0.650617024768466
0,0.13463864621218377
0,0.05439162219075123
0,0.19216878678083557
0,0.077443336249771
1,1.0262868326211465
1,0.9680123100389165
1,0.8421882580693196
0,-0.011069250397051205
0,0.15040916935773765
0,0.029509700665184966
0,0.048144359836514265
0,0.028963365915248927
1,0.9559034536012777
0,0.26885917178240715
1,0.515884749057368
1,0.9677824383497087
0,-0.035216688706622805
0,0.04928504798672823
0,-0.02073817551655549
0,-0.01795786934672829
0,-0.024954422567088283
0,0.0841593266775759
1,0.781268318773779
1,0.7502369014614546
1,0.5648916137104834
0,-0.004526246870690764
0,0.08531442079843622
0,0.054064315479315755
0,0.04306299035385649
1,0.8521592910955087
1,0.8868631440064679
1,0.8548516825035035
0,-0.04957846763557391
1,0.2928166939133912
0,0.0660277518388269
0,-0.023473680539205222
0,-0.03986542116338572
0,-0.03285664643278559
0,0.05524881467077171
1,0.8144666139654391
1,0.8344384372848921
0,0.3842141981834289
1,0.7367405324871964
0,0.10786923535178163
0,0.09944295618422909
0,0.1752628224617838
1,0.9378002123965473
0,0.13256513930731575
0,-0.03217712995810179
0,-0.016814590992596135
0,0.07142031678261974
1,0.9323268121217076
1,0.5833356295098827
1,0.8281417550048261
1,0.6077997165834699
1,0.48218220607194723
0,0.21050524478510405
0,0.1555121367161268
0,0.01748521236453665
1,0.8875697992430284
0,-0.044171643435390054
0,0.14542183552146
1,0.8624106292726704
1,0.9348217585692763
0,0.09327641389179113
1,0.9543709122426911
0,0.22567276346432508
0,0.24354801368748621
0,-0.017063557748157133
0,0.2778493564987048
0,0.25756517244797206
1,0.6706845917460099
1,0.9582639784536534
1,1.0045774544554116
0,-0.027169473121143442
1,0.7553225046936973
1,0.3602474822125978
1,0.8848273010969506
1,0.7030896054703532
0,-0.013665361519367664
1,0.9823530064546567
1,0.9688420971808012
1,0.9638008081721027
0,-0.015655547102013705
0,0.04995722259518204
0,0.29463521969228335
0,0.2163668819066764
0,0.13523233589201428
1,1.0133167852968692
1,1.0186515713735338
1,1.020242786871202
0,0.42524924644377377
1,0.992406775957809
0,-0.03051728238859768
0,0.29736625787200616
0,0.01685606624492585
0,0.0051008779217400465
0,0.05416858480633704
0,0.4931710542512276
1,0.8808326119454037
1,0.8645788200246032
1,0.9435236224757135
1,1.0709174781623276
0,-0.014558205414080549
0,0.0382216084648178
0,-0.008386996362337395
1,0.4574454873773921
1,0.9717265644995597
0,0.19724513558015527
0,0.043864608022229155
1,1.0924989372788103
0,0.42480681269099874
1,1.0047550477539227
0,0.2505887024487833
1,0.7452247718165571
1,1.0126363602680035
1,1.0132371727781366
0,0.017135066705880456
0,0.12822944662485103
0,0.36996690555461
1,0.6713086520700471
1,0.5832181166165553
1,0.4403336352777217
0,-0.000328240525893922
1,0.9405977713774885
1,0.9400100995924753
0,0.23971586711822762
1,1.0923748711428822
0,0.11573424755601011
0,0.09841814633128461
1,0.14210476611799358
0,0.2525147367251747
0,0.04763550283853295
0,0.27028309191310607
0,-0.013164754004942533
1,0.9076843094302636
1,0.9548197743275572
1,1.0335834872673906
0,0.0073708843197893645
0,0.1727442980890959
1,0.9742449857485882
0,0.06585262578120937
1,0.887721442807932
1,0.868166235363001
0,0.12316442597444623
1,0.862247101739828
0,0.2724945274858531
0,0.029560955491900767
0,-0.016397974862920744
1,1.0256734274376857
1,0.871632820138969
1,0.5765470811531351
0,-0.005400892074444853
0,0.10786813155283123
1,0.933770639402461
0,0.11089955825261422
0,0.1432360578279189
0,0.0836525771509295
0,-0.02362119470789216
1,0.9955739017326388
0,0.21160738692178238
0,0.4117809986831513
1,0.8915153899307411
1,0.8721352726921041
0,-0.04404362360051352
1,0.8736941820925272
0,0.44257940096312337
0,0.3029439589425776
0,0.15431467436217053
0,-0.013443286505665716
1,1.0375215949903356
0,0.5567174950995268
0,0.49722899026302425
1,0.9798696529341441
1,1.001973089100969
0,0.4515968911013059
1,0.9101347823106829
1,1.027987375753368
1,1.112729089239746
